宣言,文｜*｜文,%3% : %1%, 
宣言,文｜文,%2% : %1%,var %2% : %1%;
 , , , 
演算,式｜<<｜式,%1% shl %3%, 
演算,式｜>>｜式,%1% shr %3%, 
演算,式｜<<｜式,%1% -[ %3% ], 
演算,式｜>>｜式,%1% -[ %3% ], 
 , , , 
キャスト,(*)｜文,( %s1% ) %2%, 
 , , , 
